Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanixuish
xuiOptionsControlsVROptions,UI,XUi Controls Options,x,,VROptions,,,,,,,,VROpcje,,,,,,
xuiOptionsControlsSeatedModeEnabled,UI,XUi Controls Options,x,,Seated Mode Enabled,,,,,,,,Tryb Siedzący,,,,,,
xuiOptionsControlsSeatedModeEnabledTooltip,UI,XUi Controls Options,x,,Playing from seated but scaled to full height,,,,,,,,Gra w trybie siedzącym ale przeskalowanym do pełnego wzrostu,,,,,,
xuiOptionsControlsPhysicalMeleeEnabled,UI,XUi Controls Options,x,,Physical Melee Enabled,,,,,,,,Fizyczna Walka Wręcz,,,,,,
xuiOptionsControlsPhysicalMeleeEnabledTooltip,UI,XUi Controls Options,x,,Hit stuff for real or only with trigger,,,,,,,,Uderzaj machając ręką lub tylko przyciskiem spustu,,,,,,
xuiOptionsControlsTurnMode,UI,XUi Controls Options,x,,Turn Mode,,,,,,,,Tryb obracania się,,,,,,
xuiOptionsControlsTurnModeTooltip,UI,XUi Controls Options,x,,Snap turn or Barf turn,,,,,,,,Snap Turn lub Płynny Obrót,,,,,,
xuiOptionsControlsSnapTurnAngle,UI,XUi Controls Options,x,,SnapTurn Angle,,,,,,,,Kąt Obrotu Snap Turn,,,,,,
xuiOptionsControlsSnapTurnAngleTooltip,UI,XUi Controls Options,x,,Degrees to snap turn,,,,,,,,Kąt obrotu Snap Turn w stopniach,,,,,,
xuiOptionsControlsSmoothTurnSpeed,UI,XUi Controls Options,x,,SmoothTurn Speed,,,,,,,,Szybkość Płynnego Obrotu,,,,,,
xuiOptionsControlsSmoothTurnSpeedTooltip,UI,XUi Controls Options,x,,Degrees per second in barf turn mode,,,,,,,,Stopnie na sekundę w Płynnym Obrocie,,,,,,
xuiOptionsControlsMoveDirection,UI,XUi Controls Options,x,,Movement Direction,,,,,,,,Kierunek Poruszania,,,,,,
xuiOptionsControlsMoveDirectionTooltip,UI,XUi Controls Options,x,,Move forward based off what,,,,,,,,Poruszanie się w kierunku głowy lub kontrolera,,,,,,
xuiOptionsControlsToggleRun,UI,XUi Controls Options,x,,ToggleRun,,,,,,,,Przełączanie Biegu,,,,,,
xuiOptionsControlsToggleRunTooltip,UI,XUi Controls Options,x,,If Run is a toggle or a held key,,,,,,,,Przełączanie między biegiem i chodzeniem lub trzymanie przycisku sprintu,,,,,,
xuiOptionsControlsGyroSafetyLatch,UI,XUi Controls Options,x,,GyroSafetyLatch,,,,,,,,Zabezpieczenie Gyrocoptera,,,,,,
xuiOptionsControlsGyroSafetyLatchTooltip,UI,XUi Controls Options,x,,Child protection locks for the gyrocopter,,,,,,,,Ochrona przed przypadkowym wyjściem z gyrocoptera w trakcie lotu,,,,,,
xuiOptionsControlsVRAmbientOcclusion,UI,XUi Controls Options,x,,VR Ambient Occlusion,,,,,,,,Okluzja Otoczenia VR,,,,,,
xuiOptionsControlsVRAmbientOcclusionTooltip,UI,XUi Controls Options,x,,VR Amplifed Ambient Occlusion,,,,,,,,Wzmocnione Ambient Occlusion w VR,,,,,,
xuiOptionsControlsVR_DEBUG_ON,UI,XUi Controls Options,x,,VR_DEBUG_ON,,,,,,,,VR_DEBUG_ON,,,,,,
xuiOptionsControlsVR_DEBUG_ONTooltip,UI,XUi Controls Options,x,,Shows glowing hitboxes and enables debugging keys,,,,,,,,Pokazuje świecące hitboxy i włącza przyciski debugowania,,,,,,
xuiOptionsControlsHeadVisible,UI,XUi Controls Options,x,,HeadVisible,,,,,,,,Widoczność Głowy,,,,,,
xuiOptionsControlsHeadVisibleTooltip,UI,XUi Controls Options,x,,See your headwear/armor and shadow,,,,,,,,Włącza widoczność nakrycia głowy i jej cienia,,,,,,
xuiOptionsControlsWeaponPointer,UI,XUi Controls Options,x,,Weapon Pointer,,,,,,,,Wskaźnik Broni,,,,,,
xuiOptionsControlsWeaponPointerTooltip,UI,XUi Controls Options,x,,Hides pointer when not in Menu,,,,,,,,Ukrywa wskaźnik celowania gdy jest się poza oknami menu,,,,,,
xuiOptionsControlsCursorSize,UI,XUi Controls Options,x,,Cursor Size,,,,,,,,Rozmiar kursora,,,,,,
xuiOptionsControlsCursorSizeTooltip,UI,XUi Controls Options,x,,Scale the crosshair cursor,,,,,,,,Skaluje wskaźnik kontrolera VR,,,,,,
xuiOptionsControlsUIMode,UI,XUi Controls Options,x,,UI Mode,,,,,,,,Tryb Interfejsu,,,,,,
xuiOptionsControlsUIModeTooltip,UI,XUi Controls Options,x,,Type of UI to paint on screen,,,,,,,,Tryb Interfejsu Użytkownika wyświetlanego na ekranie np. na nadgarstkach lub na środku ekranu,,,,,,
xuiOptionsControlsLowStmAlert,UI,XUi Controls Options,x,,Low Stamina Effect,,,,,,,,Efekt niskiej wytrzymałości,,,,,,
xuiOptionsControlsLowStmAlertTooltip,UI,XUi Controls Options,x,,Show an on screen status effect when stamina goes below threshold,,,,,,,,Pokaż na ekranie efekt zmęczenia gdy wytrzymałość spadnie poniżej danego progu,,,,,,
xuiOptionsControlsLowStmThreshold,UI,XUi Controls Options,x,,Low Stamina Threshold,,,,,,,,Próg niskiej wytrzymałości,,,,,,
xuiOptionsControlsLowStmThresholdTooltip,UI,XUi Controls Options,x,,Threshold for low stamina effect to kick in,,,,,,,,Próg aktywacji na ekranie efektu zmęczenia,,,,,,
xuiOptionsControlsFancyCamera,UI,XUi Controls Options,x,,Fancy Camera,,,,,,,,Polish Fancy Cam,,,,,,
xuiOptionsControlsFancyCameraTooltip,UI,XUi Controls Options,x,,Enables almost all the post processing effects,,,,,,,,Polish fancycam TT,,,,,,
xuiOptionsControlsPhysicalSneak,UI,XUi Controls Options,x,,Physical Sneak,,,,,,,,Fizyczne skradanie,,,,,,
xuiOptionsControlsPhysicalSneakTooltip,UI,XUi Controls Options,x,,Start sneaking by actually crouching,,,,,,,,Zacznij się skradać kucając w rzeczywistości,,,,,,
xuiOptionsControlsPhysicalSneakThreshold,UI,XUi Controls Options,x,,Physical Sneak Threshold,,,,,,,,Próg fizycznego skradania,,,,,,
xuiOptionsControlsPhysicalSneakThresholdTooltip,UI,XUi Controls Options,x,,Threshold for physical sneak kick in,,,,,,,,Jak bardzo trzeba kucnąć żeby zacząć się skradać,,,,,,
xuiOptionsControlsBrokenItemAlert,UI,XUi Controls Options,x,,Broken Item Alert,,,,,,,,Ostrzeżenie o uszkodzonym przedmiocie,,,,,,
xuiOptionsControlsBrokenItemAlertTooltip,UI,XUi Controls Options,x,,Change the look of broken items to make it obvious,,,,,,,,Zmień wygląd zepsutych przedmiotów żeby było to oczywiste,,,,,,
xuiOptionsControlsKeyboardXOffset,UI,XUi Controls Options,x,,Keyboard XOffset,,,,,,,,Offset Klawiatury X,,,,,,
xuiOptionsControlsKeyboardXOffsetTooltip,UI,XUi Controls Options,x,,move the in game keyboard forward or backward,,,,,,,,Przesunięcie wirtualnej klawiatury do przodu lub do tyłu,,,,,,
xuiOptionsControlsKeyboardYOffset,UI,XUi Controls Options,x,,Keyboard YOffset,,,,,,,,Offset Klawiatury Y,,,,,,
xuiOptionsControlsKeyboardYOffsetTooltip,UI,XUi Controls Options,x,,move the in game keyboard up or down,,,,,,,,Przesunięcie wirtualnej klawiatury w górę lub w dół,,,,,,
xuiOptionsControlsKeyboardZOffset,UI,XUi Controls Options,x,,Keyboard ZOffset,,,,,,,,Offset Klawiatury Z,,,,,,
xuiOptionsControlsKeyboardZOffsetTooltip,UI,XUi Controls Options,x,,move the in game keyboard Left or right,,,,,,,,Przesunięcie wirtualnej klawiatury w lewo lub w prawo,,,,,,
xuiOptionsControlsRemoveVehicleSeatTilt,UI,XUi Controls Options,x,,Remove Vehicle SeatTilt,,,,,,,,Usuń pochylenie siedzenia w pojazdach,,,,,,
